country,city,mean_pm10_ug_per_m3,year,mean_pm2.5_ug_per_m3,year2,city_country
Afghanistan,Mazar-e Sharif,334,2009,68,2009,"Mazar-e Sharif, Afghanistan"
Afghanistan,Kabul,260,2009,86,2009,"Kabul, Afghanistan"
Albania,TIRANA,31,2013,16,2013,"TIRANA, Albania"
Andorra,Escaldes-Engordany,18,2014,11,2014,"Escaldes-Engordany, Andorra"
Argentina,Buenos Aires,26,2015,14,2015,"Buenos Aires, Argentina"
Australia,Geraldton,22,2014,9,2014,"Geraldton, Australia"
Australia,Palmerston,21,2014,9,2014,"Palmerston, Australia"
Australia,Muswellbrook,21,2014,9,2014,"Muswellbrook, Australia"
Australia,Singleton,21,2014,9,2014,"Singleton, Australia"
Australia,Wagga Wagga,20,2014,7,2014,"Wagga Wagga, Australia"
Australia,Moranbah,20,2014,8,2014,"Moranbah, Australia"
Australia,La Trobe Valley,19,2013,9,2014,"La Trobe Valley, Australia"
Australia,Ayr,19,2014,8,2014,"Ayr, Australia"
Australia,Upper Hunter,19,2014,8,2014,"Upper Hunter, Australia"
Australia,Newcastle,19,2014,8,2014,"Newcastle, Australia"
Australia,Collie,19,2014,8,2014,"Collie, Australia"
Australia,Darwin,18,2014,8,2014,"Darwin, Australia"
Australia,"Launceston, Tasmania",18,2013,8,2013,"Launceston, Tasmania, Australia"
Australia,Melbourne,18,2013,7,2014,"Melbourne, Australia"
Australia,Geelong,17,2014,7,2014,"Geelong, Australia"
Australia,Lower Hunter,17,2014,7,2014,"Lower Hunter, Australia"
Australia,Mackay,17,2014,7,2014,"Mackay, Australia"
Australia,Wollongong,17,2014,7,2014,"Wollongong, Australia"
Australia,Busselton,16,2014,7,2014,"Busselton, Australia"
Australia,Perth,16,2014,7,2014,"Perth, Australia"
Australia,Townsville,16,2014,7,2014,"Townsville, Australia"
Australia,Adelaide,16,2014,7,2014,"Adelaide, Australia"
Australia,Sydney,16,2014,7,2014,"Sydney, Australia"
Australia,Whyalla,16,2014,6,2014,"Whyalla, Australia"
Australia,Bunbury,16,2014,7,2014,"Bunbury, Australia"
Australia,Albany,15,2014,6,2014,"Albany, Australia"
Australia,Albury,15,2014,6,2014,"Albury, Australia"
Australia,Canberra,15,2014,6,2014,"Canberra, Australia"
Australia,Brisbane,15,2014,5,2014,"Brisbane, Australia"
Australia,Tamworth,15,2014,6,2014,"Tamworth, Australia"
Australia,Mount Isa,15,2014,6,2014,"Mount Isa, Australia"
Australia,Wyong,15,2014,6,2014,"Wyong, Australia"
