country,city,city_country,mean_pm10_ug_per_m3,year,mean_pm2.5_ug_per_m3,year2
Afghanistan,Mazar-e Sharif,"Mazar-e Sharif, Afghanistan",334,2009,68,2009
Afghanistan,Kabul,"Kabul, Afghanistan",260,2009,86,2009
Albania,TIRANA,"TIRANA, Albania",31,2013,16,2013
Andorra,Escaldes-Engordany,"Escaldes-Engordany, Andorra",18,2014,11,2014
Argentina,Buenos Aires,"Buenos Aires, Argentina",26,2015,14,2015
Australia,Geraldton,"Geraldton, Australia",22,2014,9,2014
Australia,Palmerston,"Palmerston, Australia",21,2014,9,2014
Australia,Muswellbrook,"Muswellbrook, Australia",21,2014,9,2014
Australia,Singleton,"Singleton, Australia",21,2014,9,2014
Australia,Wagga Wagga,"Wagga Wagga, Australia",20,2014,7,2014
Australia,Moranbah,"Moranbah, Australia",20,2014,8,2014
Australia,La Trobe Valley,"La Trobe Valley, Australia",19,2013,9,2014
Australia,Ayr,"Ayr, Australia",19,2014,8,2014
Australia,Upper Hunter,"Upper Hunter, Australia",19,2014,8,2014
Australia,Newcastle,"Newcastle, Australia",19,2014,8,2014
Australia,Collie,"Collie, Australia",19,2014,8,2014
Australia,Darwin,"Darwin, Australia",18,2014,8,2014
Australia,"Launceston, Tasmania","Launceston, Tasmania, Australia",18,2013,8,2013
Australia,Melbourne,"Melbourne, Australia",18,2013,7,2014
Australia,Geelong,"Geelong, Australia",17,2014,7,2014
Australia,Lower Hunter,"Lower Hunter, Australia",17,2014,7,2014
Australia,Mackay,"Mackay, Australia",17,2014,7,2014
Australia,Wollongong,"Wollongong, Australia",17,2014,7,2014
Australia,Busselton,"Busselton, Australia",16,2014,7,2014
Australia,Perth,"Perth, Australia",16,2014,7,2014
Australia,Townsville,"Townsville, Australia",16,2014,7,2014
Australia,Adelaide,"Adelaide, Australia",16,2014,7,2014
Australia,Sydney,"Sydney, Australia",16,2014,7,2014
Australia,Whyalla,"Whyalla, Australia",16,2014,6,2014
Australia,Bunbury,"Bunbury, Australia",16,2014,7,2014
Australia,Albany,"Albany, Australia",15,2014,6,2014
Australia,Albury,"Albury, Australia",15,2014,6,2014
Australia,Canberra,"Canberra, Australia",15,2014,6,2014
Australia,Brisbane,"Brisbane, Australia",15,2014,5,2014
Australia,Tamworth,"Tamworth, Australia",15,2014,6,2014
Australia,Mount Isa,"Mount Isa, Australia",15,2014,6,2014
Australia,Wyong,"Wyong, Australia",15,2014,6,2014
