verein,gesamt_marktwert_zuzuege,gesamt_marktwert_abgaenge,gesamt_differenz_marktwert,*Verein*_x,Tore_x,Tore_y,Transfer_Differenz_Tore,*Verein*_y,Vorlagen_x,Vorlagen_y,Transfer_Differenz_Vorlagen,*Verein*,Total Spiele_x,Total Spiele_y,Transfer_Differenz_Minuten
BSC Young Boys,63500000.0,70750000.0,-7250000.0,BSC Young Boys,234,380,-146,BSC Young Boys,119,257,-138,BSC Young Boys,1283,2432,-1149
FC Basel,38000000.0,52250000.0,-14250000.0,FC Basel,552,441,111,FC Basel,258,262,-4,FC Basel,2126,2607,-481
FC Lausanne-Sport,42750000.0,34250000.0,8500000.0,FC Lausanne-Sport,255,424,-169,FC Lausanne-Sport,79,279,-200,FC Lausanne-Sport,1594,3216,-1622
FC Lugano,76750000.0,34750000.0,42000000.0,FC Lugano,502,242,260,FC Lugano,191,170,21,FC Lugano,2926,3052,-126
FC Luzern,36750000.0,35500000.0,1250000.0,FC Luzern,176,241,-65,FC Luzern,134,117,17,FC Luzern,1922,2644,-722
FC Sion,42350000.0,85750000.0,-43400000.0,FC Sion,172,579,-407,FC Sion,104,314,-210,FC Sion,1763,3548,-1785
FC St. Gallen 1879,43250000.0,40000000.0,3250000.0,FC St. Gallen 1879,229,265,-36,FC St. Gallen 1879,149,153,-4,FC St. Gallen 1879,1976,1994,-18
FC Thun,51250000.0,24000000.0,27250000.0,FC Thun,235,263,-28,FC Thun,128,80,48,FC Thun,1471,1494,-23
FC Zürich,29000000.0,40000000.0,-11000000.0,FC Zürich,130,253,-123,FC Zürich,84,215,-131,FC Zürich,1099,3159,-2060
Grasshopper Club Zürich,54000000.0,49850000.0,4150000.0,Grasshopper Club Zürich,388,498,-110,Grasshopper Club Zürich,169,166,3,Grasshopper Club Zürich,2284,2506,-222
