"TIV of arms imports to the top 50 largest importers, 1950-2017"
Figures are SIPRI Trend Indicator Values (TIVs) expressed in millions
Figures may not add up due to the conventions of rounding.
A '0' indicates that the value of deliveries is less than 0.5m
"For more information, see http://www.sipri.org/databases/armstransfers/sources-and-methods/"

Source: SIPRI Arms Transfers Database
Generated: 24 July 2018


Rank 1950-2017,Recipient,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,1950-2017
1,India,140,278,104,430,265,350,366,978,953,855,544,1122,371,647,920,1049,994,1264,1655,1518,872,1864,1801,1324,1289,1102,1928,2385,1197,1193,1784,2141,2287,2661,2769,2980,4130,3835,3758,3577,2715,1878,1200,735,883,1479,862,1665,758,1216,995,1200,2031,2758,2225,1204,1488,2267,1845,1863,2909,3596,4395,5322,3227,2845,3296,3358,119893
2,China,2703,2310,3822,3537,3503,1600,2255,2126,2778,3159,2431,936,307,450,395,218,233,145,182,2,2,2,2,3,3,3,3,75,86,12,7,2,15,27,73,115,17,53,71,110,214,392,1169,1187,274,680,1494,900,382,1785,2552,2850,2891,2373,3315,3607,2885,1677,1877,1392,1045,1113,1686,1388,1148,1142,991,1117,77296
3,Egypt,163,57,0,1,142,698,1065,479,488,334,143,548,690,741,847,954,1533,2297,1362,1326,1802,2050,3334,2593,1099,571,164,414,134,630,1004,1182,2492,1704,1500,968,1480,1643,419,295,562,890,978,1255,2020,1716,993,1050,469,514,837,847,719,630,654,780,705,690,333,159,686,630,281,675,380,1452,1711,2355,64321
4,Japan,,,8,223,316,411,758,1059,1239,668,859,338,223,204,1809,1209,324,619,559,531,658,781,677,640,1007,1685,1674,975,1094,997,1067,1347,1462,1707,2063,1982,1904,1949,2007,2297,2703,2953,2520,2139,1026,1242,858,825,1475,1268,493,442,446,483,403,398,479,517,681,611,392,304,242,296,313,349,347,500,64035
5,Saudi Arabia,0,,7,1,2,16,10,56,37,8,17,12,22,,5,48,235,210,456,383,54,10,101,182,375,474,607,946,1014,762,1094,1814,2219,1823,835,1330,2850,2009,788,1382,2073,1041,1125,2377,981,983,1731,2792,2900,1580,85,61,567,167,1170,167,205,230,391,824,1083,1222,1033,1615,2741,3352,2986,4111,61783
6,Germany (FRG),,,,,,85,1296,2107,2929,1515,2018,1973,2466,3219,3710,3323,3211,1324,1198,1256,1475,2340,805,1709,2109,1813,1395,1049,709,77,237,352,526,468,374,111,311,321,430,708,716,694,685,535,423,228,246,61,543,129,113,133,71,64,239,204,416,82,293,339,283,99,142,113,108,95,61,65,56127
7,Turkey,104,124,321,514,473,335,198,544,630,934,592,312,300,616,835,412,330,589,420,639,391,937,1096,789,773,1080,431,330,966,913,488,732,483,466,560,690,477,1420,1604,983,1238,1204,1838,2298,1859,1589,1512,1531,2645,1740,1185,510,905,330,257,1095,531,692,640,732,484,777,1501,797,1525,460,348,410,55462
8,Iraq,,,59,53,19,61,105,38,186,170,168,118,278,201,321,248,341,345,368,405,154,187,624,1861,1440,1103,1135,1084,1817,1359,2239,2587,3223,3298,4541,4107,3372,3453,1888,1492,779,,,,,,,,,,,,,,71,186,312,275,378,398,434,574,476,353,633,1403,1827,712,53256
9,South Korea,144,256,266,263,158,346,412,236,212,284,248,254,131,203,266,623,569,125,345,494,76,240,375,253,446,646,552,1193,375,1348,918,888,677,493,520,753,858,764,1214,1838,1211,910,790,1010,1018,1957,1976,1226,1431,1644,1396,773,528,752,1059,805,1651,1755,1683,796,1282,1574,1078,184,721,272,1144,918,51804
10,Iran,4,6,0,1,75,111,121,53,129,107,11,107,110,137,141,182,442,381,894,1236,1192,1731,1413,2053,2845,5171,4466,5560,3743,535,278,487,541,509,469,648,803,833,478,192,454,1022,432,987,452,296,615,178,381,323,418,524,435,282,121,57,423,331,62,62,103,100,46,31,13,13,398,4,46757
