Year,Mexico,Guatemala,Nicaragua,El Salvador,Honduras,Costa Rica,Cuba,Dominican Republic,Panama
1950,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
1951,7.0,6.0,0.0,0.0,1.0,0.0,9.0,11.0,0.0
1952,0.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0
1953,6.0,0.0,3.0,0.0,0.0,0.0,0.0,21.0,0.0
1954,0.0,2.0,13.0,1.0,1.0,0.0,3.0,2.0,0.0
1955,0.0,8.0,5.0,0.0,0.0,3.0,13.0,0.0,0.0
1956,0.0,6.0,1.0,0.0,9.0,0.0,35.0,1.0,0.0
1957,0.0,0.0,0.0,17.0,1.0,0.0,7.0,1.0,0.0
1958,16.0,0.0,6.0,0.0,20.0,0.0,0.0,2.0,0.0
1959,2.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0
1960,6.0,16.0,2.0,0.0,0.0,0.0,0.0,16.0,0.0
1961,26.0,0.0,8.0,0.0,0.0,0.0,0.0,11.0,0.0
1962,107.0,1.0,6.0,0.0,14.0,0.0,0.0,0.0,0.0
1963,60.0,7.0,8.0,0.0,0.0,1.0,0.0,7.0,0.0
1964,34.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
1965,0.0,5.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0
1966,21.0,0.0,2.0,1.0,5.0,0.0,0.0,9.0,0.0
1967,14.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1968,0.0,16.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
1969,0.0,1.0,0.0,8.0,2.0,0.0,0.0,0.0,3.0
1970,82.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,2.0
1971,44.0,45.0,5.0,1.0,0.0,0.0,0.0,2.0,18.0
1972,9.0,1.0,5.0,0.0,0.0,0.0,0.0,7.0,2.0
1973,151.0,1.0,5.0,0.0,2.0,2.0,0.0,0.0,14.0
1974,13.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
1975,25.0,28.0,0.0,14.0,31.0,3.0,0.0,2.0,23.0
1976,8.0,7.0,7.0,10.0,6.0,0.0,0.0,12.0,6.0
1977,23.0,0.0,0.0,8.0,11.0,0.0,0.0,0.0,4.0
1978,51.0,0.0,13.0,1.0,0.0,6.0,0.0,0.0,2.0
1979,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0
1980,0.0,1.0,0.0,6.0,13.0,1.0,0.0,9.0,0.0
1981,70.0,38.0,0.0,5.0,13.0,0.0,0.0,5.0,0.0
1982,244.0,16.0,0.0,32.0,29.0,0.0,0.0,30.0,5.0
1983,3.0,0.0,0.0,11.0,12.0,0.0,0.0,0.0,6.0
1984,0.0,7.0,0.0,60.0,17.0,0.0,0.0,25.0,0.0
1985,0.0,0.0,0.0,44.0,9.0,2.0,0.0,0.0,7.0
1986,12.0,2.0,0.0,5.0,66.0,1.0,0.0,0.0,0.0
1987,116.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0
1988,77.0,0.0,0.0,0.0,44.0,0.0,0.0,2.0,2.0
1989,54.0,0.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0
1990,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,18.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0
1992,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0
1993,150.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994,54.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
1996,41.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0
1997,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
1998,11.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0
1999,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,145.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
2002,59.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
2003,15.0,0.0,0.0,10.0,0.0,0.0,0.0,8.0,0.0
2004,90.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0
2005,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
2010,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,49.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,15.0
2013,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,33.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2015,204.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
2016,230.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2017,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,3258.0,256.0,90.0,329.0,352.0,22.0,68.0,268.0,123.0
