Year,Afghanistan,African Union**,Albania,Algeria,Angola,Anti-Castro rebels (Cuba)*,Argentina,Armas (Guatemala)*,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belgium,Belize,Benin,Biafra,Bolivia,Bosnia-Herzegovina,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Congo,Contras (Nicaragua)*,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,Denmark,Djibouti,Dominican Republic,DR Congo,Ecuador,Egypt,El Salvador,Equatorial Guinea,Estonia,Ethiopia,Fiji,Finland,France,Gabon,Georgia,Germany (FRG),Ghana,Greece,Guatemala,Guinea,Guyana,Haiti,Haiti rebels*,Honduras,Hungary,India,Indonesia,Indonesia rebels*,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Libya GNC,Libya HoR,Lithuania,Luxembourg,Macedonia (FYROM),Madagascar,Malawi,Malaysia,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Morocco,Mujahedin (Afghanistan)*,Myanmar,Namibia,NATO**,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Korea,North Yemen,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Regional Security System**,Romania,Rwanda,Saint Kitts and Nevis,Saint Vincent,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Somalia,South Africa,South Korea,South Sudan,South Vietnam,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Syria rebels*,Taiwan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,UAE,Uganda,Ukraine,UNITA (Angola)*,United Kingdom,United Nations**,Unknown recipient(s),Uruguay,Uzbekistan,Venezuela,Viet Nam,Yemen,Yugoslavia,Zimbabwe,Total,Year
1950,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,557.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,2.0,0.0,0.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,218.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,36.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,104.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,1742.0,0
1951,0.0,0.0,0.0,0.0,0.0,0.0,445.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,0.0,0.0,0.0,6.0,0.0,0.0,259.0,0.0,0.0,0.0,0.0,0.0,0.0,941.0,0.0,0.0,247.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,36.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.0,0.0,0.0,0.0,0.0,398.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,98.0,0.0,85.0,0.0,0.0,0.0,0.0,124.0,0.0,0.0,0.0,0.0,246.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,63.0,0.0,4737.0,1
1952,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,747.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.0,0.0,0.0,16.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.0,0.0,0.0,0.0,0.0,307.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,2.0,335.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.0,0.0,0.0,0.0,0.0,0.0,4.0,368.0,0.0,0.0,0.0,0.0,0.0,1.0,76.0,1.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,0.0,304.0,0.0,57.0,0.0,0.0,0.0,0.0,317.0,0.0,0.0,0.0,0.0,531.0,0.0,0.0,38.0,0.0,20.0,0.0,0.0,374.0,0.0,6414.0,2
1953,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,465.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1324.0,0.0,0.0,10.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,0.0,21.0,0.0,11.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1060.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,6.0,687.0,0.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,508.0,0.0,3.0,0.0,0.0,0.0,0.0,412.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32.0,0.0,284.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.0,0.0,42.0,0.0,0.0,0.0,0.0,508.0,0.0,0.0,0.0,0.0,1586.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,525.0,0.0,8907.0,3
1954,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,892.0,0.0,0.0,28.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,30.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1051.0,0.0,0.0,0.0,0.0,79.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,52.0,0.0,0.0,75.0,0.0,0.0,0.0,302.0,0.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434.0,0.0,13.0,0.0,0.0,0.0,0.0,19.0,0.0,53.0,0.0,0.0,0.0,0.0,111.0,2.0,0.0,192.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,300.0,0.0,23.0,0.0,0.0,0.0,0.0,397.0,0.0,0.0,0.0,0.0,507.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0,531.0,0.0,5939.0,4
1955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,4.0,0.0,973.0,0.0,0.0,5.0,0.0,13.0,0.0,0.0,3.0,0.0,0.0,13.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1086.0,0.0,0.0,85.0,0.0,107.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,189.0,1.0,0.0,110.0,0.0,0.0,1.0,478.0,0.0,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,0.0,5.0,0.0,0.0,0.0,0.0,160.0,0.0,135.0,0.0,0.0,0.0,0.0,26.0,36.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0,0.0,6.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,590.0,0.0,34.0,0.0,0.0,0.0,0.0,254.0,0.0,0.0,0.0,0.0,185.0,0.0,0.0,1.0,0.0,23.0,0.0,0.0,334.0,0.0,6591.0,5
1956,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,60.0,45.0,0.0,0.0,0.0,0.0,0.0,341.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,11.0,0.0,611.0,0.0,0.0,40.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,68.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1142.0,0.0,0.0,1262.0,0.0,92.0,6.0,0.0,0.0,6.0,0.0,9.0,0.0,4.0,0.0,0.0,121.0,27.0,0.0,3.0,1112.0,0.0,758.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,432.0,0.0,1.0,0.0,0.0,0.0,0.0,194.0,0.0,155.0,0.0,0.0,0.0,0.0,42.0,42.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,412.0,0.0,45.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,0.0,10.0,0.0,0.0,0.0,0.0,198.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,18.0,0.0,52.0,0.0,0.0,246.0,0.0,8382.0,6
1957,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,75.0,85.0,0.0,0.0,0.0,0.0,0.0,286.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,4.0,0.0,245.0,0.0,0.0,24.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,60.0,0.0,1.0,0.0,0.0,0.0,17.0,0.0,0.0,15.0,0.0,3.0,650.0,0.0,0.0,1820.0,0.0,354.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,10.0,0.0,53.0,4.0,0.0,10.0,890.0,0.0,1047.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,242.0,0.0,0.0,0.0,0.0,89.0,45.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,0.0,8.0,252.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,352.0,0.0,90.0,0.0,0.0,0.0,0.0,473.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,19.0,0.0,135.0,0.0,0.0,331.0,0.0,8747.0,7
1958,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,190.0,6.0,0.0,0.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,26.0,0.0,0.0,135.0,0.0,0.0,0.0,0.0,4.0,0.0,179.0,0.0,0.0,32.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,1051.0,0.0,0.0,2212.0,0.0,447.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,57.0,6.0,129.0,4.0,0.0,2.0,415.0,0.0,1239.0,1.0,0.0,0.0,0.0,10.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,0.0,6.0,0.0,0.0,0.0,0.0,142.0,0.0,168.0,0.0,0.0,0.0,0.0,30.0,24.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,0.0,15.0,126.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,721.0,0.0,15.0,0.0,0.0,0.0,0.0,514.0,0.0,0.0,0.0,0.0,539.0,0.0,0.0,3.0,0.0,26.0,0.0,0.0,112.0,0.0,9686.0,8
1959,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,213.0,18.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0,3.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,250.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,795.0,0.0,0.0,726.0,0.0,286.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,105.0,0.0,0.0,13.0,417.0,0.0,661.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,323.0,0.0,0.0,0.0,0.0,37.0,24.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,284.0,0.0,20.0,281.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,979.0,0.0,10.0,0.0,0.0,0.0,0.0,624.0,0.0,0.0,0.0,0.0,543.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,177.0,0.0,7531.0,9
