Chile,Brazil,Argentina,Peru,Colombia,Venezuela,Ecuador,Bolivia,Uruguay,Year
1.0,0.0,70.0,0.0,3.0,0.0,0.0,0.0,68.0,1950
247.0,259.0,445.0,0.0,4.0,0.0,0.0,6.0,3.0,1951
16.0,0.0,38.0,76.0,12.0,20.0,0.0,0.0,38.0,1952
10.0,28.0,4.0,0.0,12.0,1.0,11.0,0.0,3.0,1953
28.0,8.0,5.0,111.0,31.0,13.0,0.0,2.0,1.0,1954
5.0,53.0,0.0,26.0,13.0,23.0,0.0,0.0,1.0,1955
40.0,14.0,39.0,42.0,14.0,52.0,6.0,0.0,18.0,1956
24.0,110.0,14.0,89.0,15.0,135.0,0.0,0.0,19.0,1957
32.0,135.0,66.0,30.0,24.0,26.0,13.0,26.0,3.0,1958
2.0,125.0,27.0,37.0,10.0,7.0,0.0,3.0,0.0,1959
32.0,63.0,96.0,68.0,5.0,86.0,66.0,0.0,17.0,1960
43.0,191.0,178.0,96.0,62.0,0.0,0.0,4.0,0.0,1961
19.0,45.0,32.0,14.0,3.0,32.0,0.0,2.0,0.0,1962
121.0,84.0,4.0,20.0,20.0,19.0,3.0,4.0,0.0,1963
21.0,25.0,4.0,6.0,6.0,0.0,3.0,2.0,2.0,1964
37.0,147.0,4.0,33.0,18.0,0.0,29.0,1.0,8.0,1965
56.0,54.0,60.0,43.0,32.0,13.0,9.0,1.0,6.0,1966
0.0,218.0,128.0,4.0,15.0,4.0,21.0,14.0,0.0,1967
15.0,140.0,92.0,3.0,32.0,0.0,5.0,13.0,10.0,1968
8.0,34.0,32.0,3.0,119.0,7.0,1.0,1.0,12.0,1969
62.0,73.0,159.0,23.0,3.0,11.0,5.0,2.0,9.0,1970
42.0,108.0,244.0,3.0,26.0,129.0,2.0,1.0,16.0,1971
43.0,319.0,309.0,19.0,18.0,111.0,0.0,13.0,24.0,1972
66.0,373.0,133.0,46.0,55.0,203.0,5.0,10.0,6.0,1973
118.0,142.0,68.0,47.0,0.0,8.0,2.0,2.0,5.0,1974
183.0,442.0,135.0,213.0,0.0,78.0,5.0,18.0,0.0,1975
207.0,184.0,155.0,188.0,10.0,7.0,60.0,16.0,40.0,1976
0.0,9.0,98.0,44.0,8.0,44.0,91.0,1.0,2.0,1977
13.0,101.0,147.0,43.0,12.0,55.0,22.0,4.0,0.0,1978
5.0,10.0,94.0,39.0,36.0,8.0,11.0,1.0,2.0,1979
11.0,11.0,75.0,58.0,4.0,21.0,133.0,1.0,10.0,1980
2.0,12.0,36.0,23.0,28.0,59.0,6.0,5.0,11.0,1981
23.0,2.0,4.0,0.0,18.0,69.0,5.0,1.0,9.0,1982
3.0,2.0,28.0,67.0,49.0,137.0,15.0,0.0,0.0,1983
12.0,2.0,10.0,34.0,102.0,28.0,39.0,0.0,0.0,1984
4.0,23.0,10.0,59.0,7.0,395.0,8.0,6.0,0.0,1985
6.0,34.0,0.0,11.0,6.0,15.0,0.0,6.0,0.0,1986
7.0,100.0,8.0,39.0,3.0,0.0,18.0,0.0,0.0,1987
9.0,46.0,4.0,109.0,35.0,66.0,17.0,56.0,16.0,1988
13.0,336.0,4.0,0.0,109.0,1.0,4.0,61.0,5.0,1989
8.0,39.0,14.0,0.0,7.0,1.0,3.0,0.0,5.0,1990
12.0,12.0,0.0,15.0,52.0,71.0,21.0,11.0,7.0,1991
69.0,7.0,27.0,12.0,15.0,0.0,0.0,9.0,0.0,1992
26.0,0.0,14.0,3.0,53.0,0.0,18.0,13.0,18.0,1993
18.0,37.0,48.0,0.0,42.0,1.0,4.0,9.0,9.0,1994
32.0,0.0,28.0,0.0,35.0,0.0,22.0,0.0,0.0,1995
10.0,45.0,9.0,26.0,37.0,2.0,0.0,0.0,0.0,1996
6.0,131.0,82.0,4.0,105.0,0.0,43.0,0.0,0.0,1997
17.0,0.0,140.0,12.0,84.0,0.0,6.0,0.0,12.0,1998
13.0,11.0,197.0,1.0,44.0,20.0,0.0,9.0,0.0,1999
19.0,22.0,59.0,0.0,60.0,0.0,0.0,18.0,0.0,2000
14.0,111.0,6.0,1.0,272.0,5.0,0.0,0.0,0.0,2001
0.0,70.0,12.0,14.0,124.0,11.0,0.0,0.0,0.0,2002
8.0,8.0,11.0,22.0,96.0,15.0,0.0,0.0,0.0,2003
16.0,20.0,19.0,47.0,0.0,0.0,0.0,0.0,0.0,2004
0.0,18.0,3.0,25.0,4.0,0.0,4.0,0.0,0.0,2005
254.0,18.0,9.0,22.0,27.0,0.0,0.0,0.0,0.0,2006
81.0,19.0,15.0,0.0,122.0,0.0,0.0,0.0,0.0,2007
0.0,33.0,17.0,0.0,16.0,0.0,0.0,0.0,0.0,2008
30.0,0.0,8.0,2.0,147.0,0.0,1.0,0.0,0.0,2009
132.0,24.0,3.0,5.0,58.0,0.0,10.0,0.0,0.0,2010
39.0,84.0,1.0,2.0,80.0,0.0,0.0,1.0,0.0,2011
38.0,111.0,3.0,5.0,77.0,0.0,0.0,1.0,0.0,2012
31.0,69.0,6.0,8.0,99.0,0.0,0.0,1.0,0.0,2013
61.0,17.0,4.0,0.0,25.0,0.0,0.0,6.0,0.0,2014
81.0,37.0,18.0,11.0,55.0,6.0,0.0,0.0,0.0,2015
18.0,31.0,6.0,1.0,15.0,0.0,0.0,0.0,0.0,2016
0.0,12.0,33.0,3.0,36.0,0.0,0.0,0.0,0.0,2017
2615.0,5046.0,3851.0,2003.0,2763.0,2013.0,747.0,360.0,417.0,Total
