Year,Chile,Brazil,Argentina,Peru,Colombia,Venezuela,Ecuador,Bolivia,Uruguay
1950,1.0,0.0,70.0,0.0,3.0,0.0,0.0,0.0,68.0
1951,247.0,259.0,445.0,0.0,4.0,0.0,0.0,6.0,3.0
1952,16.0,0.0,38.0,76.0,12.0,20.0,0.0,0.0,38.0
1953,10.0,28.0,4.0,0.0,12.0,1.0,11.0,0.0,3.0
1954,28.0,8.0,5.0,111.0,31.0,13.0,0.0,2.0,1.0
1955,5.0,53.0,0.0,26.0,13.0,23.0,0.0,0.0,1.0
1956,40.0,14.0,39.0,42.0,14.0,52.0,6.0,0.0,18.0
1957,24.0,110.0,14.0,89.0,15.0,135.0,0.0,0.0,19.0
1958,32.0,135.0,66.0,30.0,24.0,26.0,13.0,26.0,3.0
1959,2.0,125.0,27.0,37.0,10.0,7.0,0.0,3.0,0.0
1960,32.0,63.0,96.0,68.0,5.0,86.0,66.0,0.0,17.0
1961,43.0,191.0,178.0,96.0,62.0,0.0,0.0,4.0,0.0
1962,19.0,45.0,32.0,14.0,3.0,32.0,0.0,2.0,0.0
1963,121.0,84.0,4.0,20.0,20.0,19.0,3.0,4.0,0.0
1964,21.0,25.0,4.0,6.0,6.0,0.0,3.0,2.0,2.0
1965,37.0,147.0,4.0,33.0,18.0,0.0,29.0,1.0,8.0
1966,56.0,54.0,60.0,43.0,32.0,13.0,9.0,1.0,6.0
1967,0.0,218.0,128.0,4.0,15.0,4.0,21.0,14.0,0.0
1968,15.0,140.0,92.0,3.0,32.0,0.0,5.0,13.0,10.0
1969,8.0,34.0,32.0,3.0,119.0,7.0,1.0,1.0,12.0
1970,62.0,73.0,159.0,23.0,3.0,11.0,5.0,2.0,9.0
1971,42.0,108.0,244.0,3.0,26.0,129.0,2.0,1.0,16.0
1972,43.0,319.0,309.0,19.0,18.0,111.0,0.0,13.0,24.0
1973,66.0,373.0,133.0,46.0,55.0,203.0,5.0,10.0,6.0
1974,118.0,142.0,68.0,47.0,0.0,8.0,2.0,2.0,5.0
1975,183.0,442.0,135.0,213.0,0.0,78.0,5.0,18.0,0.0
1976,207.0,184.0,155.0,188.0,10.0,7.0,60.0,16.0,40.0
1977,0.0,9.0,98.0,44.0,8.0,44.0,91.0,1.0,2.0
1978,13.0,101.0,147.0,43.0,12.0,55.0,22.0,4.0,0.0
1979,5.0,10.0,94.0,39.0,36.0,8.0,11.0,1.0,2.0
1980,11.0,11.0,75.0,58.0,4.0,21.0,133.0,1.0,10.0
1981,2.0,12.0,36.0,23.0,28.0,59.0,6.0,5.0,11.0
1982,23.0,2.0,4.0,0.0,18.0,69.0,5.0,1.0,9.0
1983,3.0,2.0,28.0,67.0,49.0,137.0,15.0,0.0,0.0
1984,12.0,2.0,10.0,34.0,102.0,28.0,39.0,0.0,0.0
1985,4.0,23.0,10.0,59.0,7.0,395.0,8.0,6.0,0.0
1986,6.0,34.0,0.0,11.0,6.0,15.0,0.0,6.0,0.0
1987,7.0,100.0,8.0,39.0,3.0,0.0,18.0,0.0,0.0
1988,9.0,46.0,4.0,109.0,35.0,66.0,17.0,56.0,16.0
1989,13.0,336.0,4.0,0.0,109.0,1.0,4.0,61.0,5.0
1990,8.0,39.0,14.0,0.0,7.0,1.0,3.0,0.0,5.0
1991,12.0,12.0,0.0,15.0,52.0,71.0,21.0,11.0,7.0
1992,69.0,7.0,27.0,12.0,15.0,0.0,0.0,9.0,0.0
1993,26.0,0.0,14.0,3.0,53.0,0.0,18.0,13.0,18.0
1994,18.0,37.0,48.0,0.0,42.0,1.0,4.0,9.0,9.0
1995,32.0,0.0,28.0,0.0,35.0,0.0,22.0,0.0,0.0
1996,10.0,45.0,9.0,26.0,37.0,2.0,0.0,0.0,0.0
1997,6.0,131.0,82.0,4.0,105.0,0.0,43.0,0.0,0.0
1998,17.0,0.0,140.0,12.0,84.0,0.0,6.0,0.0,12.0
1999,13.0,11.0,197.0,1.0,44.0,20.0,0.0,9.0,0.0
2000,19.0,22.0,59.0,0.0,60.0,0.0,0.0,18.0,0.0
2001,14.0,111.0,6.0,1.0,272.0,5.0,0.0,0.0,0.0
2002,0.0,70.0,12.0,14.0,124.0,11.0,0.0,0.0,0.0
2003,8.0,8.0,11.0,22.0,96.0,15.0,0.0,0.0,0.0
2004,16.0,20.0,19.0,47.0,0.0,0.0,0.0,0.0,0.0
2005,0.0,18.0,3.0,25.0,4.0,0.0,4.0,0.0,0.0
2006,254.0,18.0,9.0,22.0,27.0,0.0,0.0,0.0,0.0
2007,81.0,19.0,15.0,0.0,122.0,0.0,0.0,0.0,0.0
2008,0.0,33.0,17.0,0.0,16.0,0.0,0.0,0.0,0.0
2009,30.0,0.0,8.0,2.0,147.0,0.0,1.0,0.0,0.0
2010,132.0,24.0,3.0,5.0,58.0,0.0,10.0,0.0,0.0
2011,39.0,84.0,1.0,2.0,80.0,0.0,0.0,1.0,0.0
2012,38.0,111.0,3.0,5.0,77.0,0.0,0.0,1.0,0.0
2013,31.0,69.0,6.0,8.0,99.0,0.0,0.0,1.0,0.0
2014,61.0,17.0,4.0,0.0,25.0,0.0,0.0,6.0,0.0
2015,81.0,37.0,18.0,11.0,55.0,6.0,0.0,0.0,0.0
2016,18.0,31.0,6.0,1.0,15.0,0.0,0.0,0.0,0.0
2017,0.0,12.0,33.0,3.0,36.0,0.0,0.0,0.0,0.0
Total,2615.0,5046.0,3851.0,2003.0,2763.0,2013.0,747.0,360.0,417.0
