U.S. arms exports 2017, by country;
U.S. arms exports 2017, by country (in TIV expressed in million constant 1990 U.S. dollars);
;Export value in TIV in million constant (1990) U.S. dollars
Saudi Arabia;3Õ425
Australia;1Õ172
United Kingdom;698
Israel;515
Iraq;506
UAE;499
Qatar;496
Taiwan (ROC);493
Japan;479
South Korea;456
Italy;393
Morocco;351
Norway;330
India;252
Afghanistan;250
Indonesia;243
Canada;217
Egypt;189
Mexico;150
Jordan;127
Singapore;116
Turkey;94
Tunisia;93
Oman;87
Lebanon;56
Kuwait;55
Vietnam;54
Finland;53
France;52
Greece;50
Denmark;48
Poland;46
Colombia;36
Argentina;33
Romania;33
Switzerland;31
Thailand;27
Philippines;23
Netherlands;22
Pakistan;21
Slovakia;18
Uganda;16
Brazil;12
Latvia;11
Spain;10
Malta;8
Georgia;7
Kenya;6
Nigeria;5
Sweden;5
Bahrain;4
Malaysia;4
Germany (FRG);3
Kazakhstan;3
Peru;3
Belgium;3
Senegal;2
Estonia;2
Chad;2
Syria rebels;1
Lithuania;1
