conflict_id,year,location_inc,side_a,side_a_2nd,side_b,side_b_2nd,territory_name,bdbest,type_of_conflict,battle_location,region
205,2016,Iran,Government of Iran,,KDPI,,Kurdistan,30,3,"Iran, Iraq",2
205,1993,Iran,Government of Iran,,KDPI,,Kurdistan,110,3,"Iran, Iraq",2
205,1996,Iran,Government of Iran,,KDPI,,Kurdistan,27,3,"Iran, Iraq",2
205,1990,Iran,Government of Iran,,KDPI,,Kurdistan,31,3,Iran,2
209,1989,Philippines,Government of Philippines,,"CPP, Military faction (forces of Honasan, Abenina & Zumel)",,,822,3,Philippines,3
209,1990,Philippines,Government of Philippines,,"CPP, Military faction (forces of Honasan, Abenina & Zumel)",,,1165,3,Philippines,3
209,1991,Philippines,Government of Philippines,,CPP,,,1514,3,Philippines,3
209,1992,Philippines,Government of Philippines,,CPP,,,430,3,Philippines,3
209,1993,Philippines,Government of Philippines,,CPP,,,99,3,Philippines,3
209,1994,Philippines,Government of Philippines,,CPP,,,69,3,Philippines,3
209,1995,Philippines,Government of Philippines,,CPP,,,36,3,Philippines,3
209,1997,Philippines,Government of Philippines,,CPP,,,32,3,Philippines,3
209,1999,Philippines,Government of Philippines,,CPP,,,93,3,Philippines,3
209,2000,Philippines,Government of Philippines,,CPP,,,140,3,Philippines,3
209,2001,Philippines,Government of Philippines,,CPP,,,97,3,Philippines,3
209,2002,Philippines,Government of Philippines,,CPP,,,280,3,Philippines,3
209,2003,Philippines,Government of Philippines,,CPP,,,231,3,Philippines,3
209,2004,Philippines,Government of Philippines,,CPP,,,270,3,Philippines,3
209,2005,Philippines,Government of Philippines,,CPP,,,234,3,Philippines,3
209,2006,Philippines,Government of Philippines,,CPP,,,310,3,Philippines,3
209,2007,Philippines,Government of Philippines,,CPP,,,132,3,Philippines,3
209,2008,Philippines,Government of Philippines,,CPP,,,184,3,Philippines,3
209,2009,Philippines,Government of Philippines,,CPP,,,377,3,Philippines,3
209,2010,Philippines,Government of Philippines,,CPP,,,258,3,Philippines,3
209,2011,Philippines,Government of Philippines,,CPP,,,204,3,Philippines,3
209,2012,Philippines,Government of Philippines,,CPP,,,182,3,Philippines,3
209,2013,Philippines,Government of Philippines,,CPP,,,165,3,Philippines,3
209,2014,Philippines,Government of Philippines,,CPP,,,190,3,Philippines,3
209,2015,Philippines,Government of Philippines,,CPP,,,168,3,Philippines,3
209,2016,Philippines,Government of Philippines,,CPP,,,92,3,Philippines,3
209,2017,Philippines,Government of Philippines,,CPP,,,174,3,Philippines,3
218,2016,"India, Pakistan",Government of India,,Government of Pakistan,,Kashmir,67,2,India,3
218,2017,"India, Pakistan",Government of India,,Government of Pakistan,,Kashmir,118,2,"India, Pakistan",3
218,1989,"India, Pakistan",Government of India,,Government of Pakistan,,Kashmir,25,2,India,3
218,1990,"India, Pakistan",Government of India,,Government of Pakistan,,Kashmir,25,2,"India, Pakistan",3
