# Identifier (Identifier der Ressource im Quellsystem des Publishers): Traktanden_SR_2018_bis_Heute_CSV
# Titel (Titel der Datei): Traktanden_SR_2018 bis heute mit Beschlüssen
# Beschreibung (Datei-Informationen): Die Traktandenliste aller Geschäfte und Beschlüsse zu den Stadtratssitzungen der Stadt Bern.
# Sprache (Sprache in der diese Datei vorliegt): Deutsch
# Erstellt (Datum der Veröffentlichung dieser Datei): 01.12.2017
# Geändert (Datum der letzten Änderung dieser Datei): 01.12.2017
# Nutzungsbedingungen (Art der Nutzung und Angabepflicht): Freie Nutzung - Quellenangben ist Pflicht (Autor, Titel und Link zum Datensatz).
# Zugangs-URL (Die URL über welche auf die Ressource zugegriffen werden kann): http://www.bern.ch/open-government-data-ogd/ogd-nach-themen/stadtrat-ogd
# Download-URL (URL der Datei um die Ressource direkt heruntergeladen werden kann): http://www.bern.ch/open-government-data-ogd/ogd-nach-themen/stadtrat-ogd/download-stadtraetische-traktanden-und-beschluesse-ogd/traktanden-sr-2018-bis-heute-mit-beschlussen.txt/download
# Dateigrösse (Angabe in Bytes): 69406
# Dateiformat (Datei Typ und Kürzel des Formats): CSV
# Autor der Datei (Ein oder mehrere Autoren dieser Datei): Ratssekretariat des Stadtrats der Stadt Bern
# Dateibezogene Zusatzinformationen (Der richtige Umgang und Interpretation die es ggf. zu berücksichtigen gilt.): Weitere Informationen zu den einzelnen Traktanden und Geschäfte finden Sie als PDF Datei unter http://www.bern.ch/politik-und-verwaltung/stadtrat/sitzung-geschaeft.



Traktanden Nr.;Traktandierungstitel;Beschluss Nr.;Traktandumstatus;Beschluss;Datum
1;Wahl des Präsidiums und des Büros des Stadtrates für das Jahr 2018;2018-1;Beschlossen;Wahl;11.01.2018
2;Aufsichtskommission (AK): Wahl des Präsidiums und des Vizepräsidiums für das Jahr 2018;2018-2;Beschlossen;Wahl;11.01.2018
3;Kommission für Finanzen, Sicherheit und Umwelt (FSU): Ersatzwahl eines Mitglieds, Wahl des Präsidiums und des Vizepräsidiums für das Jahr 2018;2018-3;Beschlossen;Wahl;11.01.2018
4;Kommission für Planung, Verkehr und Stadtgrün (PVS): Ersatzwahl eines Mitglieds, Wahl des Präsidiums und des Vizepräsidiums für das Jahr 2018;2018-4;Beschlossen;Wahl;11.01.2018
5;Kommission für Soziales, Bildung und Kultur (SBK): Ersatzwahl eines Mitglieds, Wahl des Präsidiums und des Vizepräsidiums für das Jahr 2018;2018-5;Beschlossen;Wahl;11.01.2018
6;Agglomerationskommission (AKO): Ersatzwahl eines Mitglieds, Wahl des Präsidiums und des Vizepräsidiums für das Jahr 2018;2018-6;Beschlossen;Wahl;11.01.2018
7;Wahl in Schulkommission (Schulkommission Mattenhof-Weissenbühl);2018-7;Beschlossen;Wahl;11.01.2018
8;Kleine Anfrage Henri-Charles Beuchat (SVP): Nachgang zum Verpflichtungskredit Velo-Kampagne – SR Sitzung vom 16. November 2017;2018-8;Beschlossen;Kenntnis;11.01.2018
9;Kleine Anfrage Barbara Freiburghaus (FDP), Milena Daphinoff (CVP): Wie setzt sich das Preisgericht beim städtebaulichen Wettbewerb Viererfeld/Mittelfeld zusammen?;2018-9;Beschlossen;Kenntnis;11.01.2018
10;Dringliche Interpellation Lionel Gaudy, Philip Kohli (BDP): Schülerinnen und Schüler auf der Strasse – trotz Anspruch auf Grundschulunterricht;2018-10;Beschlossen;Kenntnis;11.01.2018
11;Interfraktionelles Postulat SP, GFL, BDP/CVP (Peter Marbet, SP/Tania Espinoza Haller, GFL/Kurt Hirsbrunner, BDP/Claudio Fischer, CVP): Lehre statt Sozialhilfe;2018-11;Beschlossen;Erheblicherkl.;11.01.2018
12;Jugendmotion (Paula Zysset/Frédéric Mader): EWB-Stromkästen von jungen Künstler/innen übermalen/übersprayen lassen;2018-12;Beschlossen;Kenntnis;11.01.2018
13;Interfraktionelle Motion SVP, FDP (Rudolf Friedli, SVP/Christoph Zimmerli, FDP/Philip Kohli, BDP): ewb: unechte Gewinnablieferungen beschränken, Rechtsform ändern und Dotationskapital verzinsen;2018-13;Beschlossen;Ablehnung;11.01.2018
14;Interfraktionelle Interpellation BDP/CVP, FDP, SVP (Philip Kohli, BDP/Claudio Fischer, CVP/Christoph Zimmerli, FDP/Roland Jakob, SVP/Matthias Stürmer, EVP): ewb: strategische Risiken reduzieren und weitere Preiserhöhungen stoppen;2018-14;Beschlossen;Kenntnis;11.01.2018
15;Interfraktionelle Motion GFL/EVP, BDP/CVP, FDP (Matthias Stürmer, EVP/Manuel C. Widmer, GFL/Philip Kohli, BDP/Bernhard Eicher, FDP): Neuanfang kostenloses WLAN in der Stadt Bern: Schaffung einer breit abgestützten Trägerschaft;2018-15;Beschlossen;Ablehnung;11.01.2018
16;Postulat Fraktion SP (Katharina Altas/Halua Pinto de Magalhães, SP): Erhebung zur Wertschöpfung der „Kultur-“ und „Kreativwirtschaft“;2018-16;Beschlossen;Verschiebung;11.01.2018
17;Motion Fraktion BDP/CVP (Michael Daphinoff, CVP/Isabelle Heer, BDP): Inklusion konkret: Pilotprojekt „Mobilitätshilfen“ im Stadtzentrum für mobilitätseingeschränkte Personen realisieren;2018-17;Beschlossen;Verschiebung;11.01.2018
18;Motion Fraktion BDP/CVP (Michael Daphinoff, CVP/Kurt Hirsbrunner, BDP): Inklusion konkret: Pilotprojekt „Mobilitätshilfen“ für mobilitätseingeschränkte Personen auf einem grossen städtischen Friedhof realisieren;2018-18;Beschlossen;Verschiebung;11.01.2018
19;Motion Fraktion BDP/CVP (Michael Daphinoff, CVP/Martin Schneider, BDP):  Fördermassnahmen für mehr Elektromobilität in Bern;2018-19;Beschlossen;Verschiebung;11.01.2018
1;Protokollgenehmigungen Stadtrat 2017 (Protokoll Nr. 20 vom 09.11.2017, Nr. 21 vom 16.11.2017, Nr. 22 vom 30.11.2017 und Nr. 23 vom 07.12.2017);2018-20;Beschlossen;Genehmigung;25.01.2018
2;Kleine Anfrage Fraktion SVP (Alexander Feuz, SVP): Besetzte städtische Liegenschaften: Was sind die straf- und zivilrechtlichen Folgen für die Besetzer? Was zahlt der Steuerzahler, dem Steuersenkungen verweigert wurden, für die permissive Haltung des Gemeinderates drauf?;2018-21;Beschlossen;Kenntnis;25.01.2018
3;Kleine Anfrage Fraktion SVP (Alexander Feuz, SVP): Umbau Volksschule Kirchenfeld: Welche Optionen für Provisorien werden vom Gemeinderat geprüft? Auch solche im Quartier?;2018-22;Beschlossen;Kenntnis;25.01.2018
4;"Gaswerkareal: Bericht Entwicklungs- und Planungsprozess; Bisherige Arbeiten und vorgesehenes Planänderungsverfahren";2018-23;Beschlossen;Kenntnis;25.01.2018
5;"Interfraktionelle Motion GB/JA!, GLP (Franziska Grossenbacher, GB/Sandra Ryser, GLP): Städtebaulicher Wettbewerb auf dem Gaswerkareal; Fristverlängerung";2018-24;Beschlossen;Fristverl.;25.01.2018
6;"Motion Fraktion GB/JA! (Stéphanie Penher, GB/Lea Bill, JA!): Gaswerkareal: Art und Mass der Nutzung definiert die Stadt; Fristverlängerung";2018-25;Beschlossen;Fristverl.;25.01.2018
7;Interpellation Fraktion GLP (Melanie Mettler, GLP): Wie und wann startet der Gemeinderat die nächsten Planungsschritte für das Gaswerkareal?;2018-26;Beschlossen;Kenntnis;25.01.2018
8;Ratssekretariat: Antrag auf provisorische Anstellung einer Ratssekretärin;2018-27;Beschlossen;Wahl;25.01.2018
9;Dringliche interfraktionelle Interpellation Fraktionen GB/JA!, GFL/EVP (Stéphanie Penher, GB/Brigitte Hilty Haller, GFL): Die No Billag-Initiative und die Konsequenzen für die Stadt Bern;2018-28;Beschlossen;Kenntnis;25.01.2018
10;Dringliche interfraktionelle Interpellation SVP, FDP/JF, BDP/CVP (Alexander Feuz, SVP/Bernhard Eicher, FDP/Michael Daphinoff, CVP): Abgeltung von Planungsmehrwerten: will die Stadt nicht aus den Fehlern von Köniz lernen und ihr Reglement entschärfen?;2018-29;Beschlossen;Kenntnis;25.01.2018
11;Dringliche interfraktionelle Motion SVP, BDP/CVP (Alexander Feuz/Rudolf Friedli, SVP/Lionel Gaudy, BDP/Milena Daphinoff, CVP): Pacta sunt servanda! Mit der Planung für Wohnraum im Ziegler ist endlich zu beginnen!;2018-30;Beschlossen;Kenntnis;25.01.2018
12;Dringliche Motion Fraktion SVP (Alexander Feuz, SVP): Militärkaserne Bern: Angebot des Gemeinderates, Provisorium, Providurium, Definitivum? Schluss mit der leichtsinnigen Vergabe von besten zentralen Wohnlagen für den Asylbereich!;2018-31;Beschlossen;Ablehnung;25.01.2018
13;"Grundstück Bern 5/1354 (Lorrainestrasse 49 und 60, 3014 Bern): Widmung und Entwidmung; Projektierungskredit Gesamtsanierung Lorrainestrasse 49";2018-32;Beschlossen;Bewilligung;25.01.2018
14;Interfraktionelle Motion FDP, SVP, BDP/CVP (Christoph Zimmerli, FDP/Rudolf Friedli, SVP/Philip Kohli, BDP/Claudio Fischer, CVP): Personalbestand: Stellenplan als Steuerungsinstrument wieder einführen;2018-33;Beschlossen;Ablehnung;25.01.2018
15;Interfraktionelles Postulat BDP/CVP, FDP, GLP, GFL/EVP (Andrin Soppelsa, BDP/Bernhard Eicher, FDP/Claude Grosjean, GLP/Matthias Stürmer, EVP): Pilotversuch: Arbeitszeit auf Vertrauen im Kader der Stadtverwaltung Bern;2018-34;Beschlossen;Rückzug;25.01.2018
16;Interfraktionelle Motion SVP, FDP, BDP/CVP (Rudolf Friedli, SVP/Christoph Zimmerli, FDP/Philip Kohli, BDP/Claudio Fischer, CVP): Keine unzulässige Konkurrenzierung privater Anbieter – Tätigkeit der Stadtverwaltung strikte auf öffentliche Aufgaben beschränken;2018-35;Beschlossen;Verschiebung;25.01.2018
17;Interpellation Fraktion SVP (Alexander Feuz/Roland Jakob, SVP): Offene Rechtsfragen um die Reithalle: Handelt es sich hier um Beschaffung von Leistungen gemäss öffentlichem Beschaffungsrecht oder um Vergabe einer Subvention? Zahlt die Reitschule Steuern (Mehrwertsteuer und direkte Steuern)?;2018-36;Beschlossen;Verschiebung;25.01.2018
